Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
LEXUS,2010,Foreign Used,193624,3500,Petrol,Automatic,"?6,032,000.00"
LEXUS,2005,Foreign Used,124007,3300,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2015,Foreign Used,261250,2500,Petrol,Automatic,"?6,300,000.00"
MERCEDES-BENZ,2014,Nigerian Used,51111,2000,Petrol,Automatic,"?8,320,000.00"
MERCEDES-BENZ,2018,Foreign Used,115896,3500,Petrol,Automatic,"?24,150,000.00"
MERCEDES-BENZ,2004,Foreign Used,204436,2600,Petrol,Automatic,"?3,675,000.00"
MERCEDES-BENZ,2012,Foreign Used,280554,3500,Petrol,Automatic,"?9,360,000.00"
TOYOTA,2012,Foreign Used,373365,2500,Petrol,Automatic,"?4,725,000.00"
MERCEDES-BENZ,2018,Foreign Used,56263,3000,Petrol,Automatic,"?52,000,000.00"
MERCEDES-BENZ,2007,Nigerian Used,110228,4500,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2009,Foreign Used,104917,2400,Petrol,Automatic,"?3,465,000.00"
MERCEDES-BENZ,2013,Foreign Used,225174,3500,Petrol,Automatic,"?13,520,000.00"
LEXUS,2007,Foreign Used,203757,3500,Petrol,Automatic,"?4,576,000.00"
LEXUS,2005,Foreign Used,123282,3000,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2012,Foreign Used,172079,2500,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2015,Nigerian Used,47602,3500,Petrol,Automatic,"?9,660,000.00"
TOYOTA,2017,Foreign Used,78320,2500,Petrol,Automatic,"?7,035,000.00"
TOYOTA,2009,Foreign Used,104917,2400,Petrol,Automatic,"?3,465,000.00"
LEXUS,2007,Foreign Used,203757,3500,Petrol,Automatic,"?4,576,000.00"
TOYOTA,2011,Foreign Used,211357,2500,Petrol,Automatic,"?4,515,000.00"
TOYOTA,2014,Foreign Used,115296,3500,Petrol,Automatic,"?15,600,000.00"
LEXUS,2008,Nigerian Used,142273,3500,Petrol,Automatic,"?4,680,000.00"
LAND ROVER,2018,Foreign Used,59656,3000,Diesel,Automatic,"?42,000,000.00"
MERCEDES-BENZ,2009,Nigerian Used,100337,4600,Petrol,Automatic,"?4,472,000.00"
TOYOTA,2011,Foreign Used,145489,2500,Petrol,Automatic,"?3,885,000.00"
TOYOTA,2019,Foreign Used,63646,2500,Petrol,Automatic,"?16,800,000.00"
MERCEDES-BENZ,2004,Foreign Used,204436,2600,Petrol,Automatic,"?3,675,000.00"
LAND ROVER,2006,Foreign Used,118872,3500,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2015,Foreign Used,150157,2700,Petrol,Automatic,"?10,400,000.00"
